,label,source,path
0,surprise,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
1,neutral,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-01-03.wav
2,angry,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
3,sad,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
4,happy,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
5,surprise,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
6,surprise,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
7,sad,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
8,angry,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
9,fear,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
10,fear,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
11,neutral,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-02-03.wav
12,calm,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
13,surprise,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
14,disgust,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
15,happy,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
16,disgust,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
17,sad,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
18,neutral,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-02-03.wav
19,sad,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
20,angry,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
21,calm,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-01-03.wav
22,fear,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
23,disgust,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
24,sad,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
25,happy,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
26,disgust,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
27,happy,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
28,fear,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
29,sad,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
30,happy,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
31,disgust,RAVDE,/home/metgoog/Desktop/wanderer-ser/data/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
